X,Y,OBJECTID,DATEREPORTED,INFORELIABILITY,INCIDENTREGION,DEAD,MISSING,NATIONALITIES,ORIGINREGION,MIGRANTROUTE,LOCATIONDESCRIPTION,NOFEMALE,NOMALE,NOCHILDREN,AGERANGE,SOURCE,URL,COMMENT,PUBLICVIEW,Cause_of_death,Number_of_survivors,type_location
27.022180035000076,37.471038600000043,13763,2015-12-08T23:00:00.000Z,Verified,Mediterranean,12,13,Unknown,Middle East/ South Asia,Eastern Mediterranean,"Off the coast of Farmakonisi, Greece",2,4,5,1 infant,IOM Greece,http://bit.ly/1Y2gkeK,"A boat capsized off the coast of Farmakonisi, Greece, killing 12 migrants, including 5 children. 8 more are still missing, while 26 were rescued.",Yes,Drowning,26,
21.771839036000074,40.93011060200007,12163,2015-12-02T23:00:00.000Z,Verified,Europe,1,,Moroccan,MENA,Other,Greek-Macedonian border,,1,,22,IOM Greece,http://wapo.st/1TyLOZo,A 22-year-old Moroccan migrant was killed after touching electrified cables on top of a train carriage on the Greek-Macedonian border. The death came amid scuffles between migrants and refugees following the Macedonian authorities' closure of the border to those considered economic migrants.,Yes,Electrocuted,,
27.107573942000045,37.276233234000074,12164,2015-12-02T23:00:00.000Z,Partially Verified,Mediterranean,3,2,Unknown,MENA,Eastern Mediterranean,"Off the coast of Farmakonissi, Greece",1,,,,,AP,,Yes,Drowning,,
1.818170025000029,50.939388674000043,12563,2015-12-02T23:00:00.000Z,Partially Verified,Europe,1,,Sudan,MENA,Calais to UK,Calais motorway,,1,1,teenager,Calais Migrant Solidarity,http://bit.ly/1DPsGT2,,Yes,Hit by vehicle,,
1.914050950000046,50.933407701000078,12564,2015-12-01T23:00:00.000Z,Partially Verified,Europe,1,,Ethiopia,Horn of Africa,Calais to UK,"Calais motorway, France",,1,,,Calais Migrant Solidarity,http://bit.ly/1DPsGT2,"A migrant from Ethiopia was struck and killed by a car on a motorway in Calais, France",Yes,Hit by vehicle,,
26.214435472000048,38.331956798000078,12565,2015-12-07T23:00:00.000Z,Partially Verified,Mediterranean,6,,Afghan,MENA,Eastern Mediterranean,"off the coast of Cesme, Izmir, Turkey near Chios, Greece",,,6,1 infant,Hurriyet Daily News,http://bit.ly/1XW83hJ,"Six Afghan children drowned after an inflatable migrant boat capsized off the coast of Cesme, Izmir, Turkey en route to Chios, Greece. 8 other migrants were rescued by the Turkish Coast Guard.",Yes,Drowning,8,
27.118060960000037,37.318839156000024,12566,2015-12-09T23:00:00.000Z,Partially Verified,Mediterranean,4,9,Iraq,MENA,Eastern Mediterranean,"near Farmakonisi, Greece",,,,,Hurriyet Daily News,http://bit.ly/1RcqvOT,"Four Iraqi refugees drowned, while nine remain missing after their boat capsized near Farmakonisi, Greece. Turkish Coast Guard rescued two refugees from the water, while five others managed to swim back to the Turkish mainland.",Yes,Drowning,7,
-15.27955256499996,26.544303107000076,12964,2015-12-07T23:00:00.000Z,Partially Verified,North Africa,11,27,Reported as unspecified nationals of Africa,Sub-Saharan Africa,Western Mediterranean,140km south of Boujdor in Western Sahara en route to Canary Islands,1,10,,,Reuters,"http://bit.ly/1NVoYwm; http://bit.ly/28IfW7F",Moroccan authorities recovered the bodies of 11 African migrants off the coast of Boujedor whose boat sank apparently due to bad weather as they tried to cross to the Canary Islands.,Yes,Drowning,,
28.572376146000067,-20.159103991999928,12965,2015-12-07T23:00:00.000Z,Partially Verified,Sub-Saharan Africa,2,,Ethiopia,Horn of Africa,Other,"highway in Bulawayo, Zimbabwe",,,,,Zegabi,http://www.zegabi.com/articles/9845,"A bus trafficking 21 Ethiopians illegally to South Africa crashed on a highway in Zimbabwe’s second largest city Bulawayo on Tuesday. Two people were killed and 19 others sustained serious injuries after the crash, which was triggered by a burst tire.",Yes,Vehicle accident,19,
27.133167161000074,37.305186130000038,12966,2015-12-08T23:00:00.000Z,Partially Verified,Mediterranean,1,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"off the Aegean coast of Turkey en route to Farmakonisi, Greece",,,1,6 month old,Hurriyet Daily News,http://bit.ly/1Y2gkeK,"A six-month-old migrant baby was found dead off the Aegean coast after a migrant boat bound for Farmakonisi capsized on Dec. 8 at around 10 p.m. The Turkish coast guard reportedly rescued 18 migrants, including six children, after that capsizing.",Yes,Drowning,18,
27.311017977000063,36.882620185000064,12967,2015-12-08T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"On the shore of Kos, Greece",,,,,IOM Greece,,The body of a migrant was found washed up on the Greek island of Kos.,Yes,Drowning,,
27.027423753000051,37.469403691000025,14163,2015-12-09T23:00:00.000Z,Partially Verified,Mediterranean,4,,Unknown,MENA,Eastern Mediterranean,"Off the coast of Farmakonisi, Greece",1,2,1,1 infant,AP,http://bit.ly/1OT8dRp,"4 bodies were found off the coast of Farmakonisi, Greece. 2 were adult men, 1 was an adult woman, while 1 body was that of an infant.",Yes,Drowning,,
29.602717905000077,36.173351421000064,14563,2015-12-11T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,Middle East,Eastern Mediterranean,"found on Megisti/Kastelorizo, Greece",,1,,,IOM Greece,http://www.hcg.gr/node/11656,A corpse of a man in advanced sepsis was found in Megisti island. No further information on his identity is available.,Yes,Presumed drowning,,
29.617135813000061,36.181908819000057,14564,,,,2,3,Syrian,MENA,,"off the coast of Kas, Antalya, Turkey, likely en route to Kastelorizo/Megisti, Greece",2,,2,"7, 11",Hurriyet Daily News,http://bit.ly/1NUH2ov,"Two Syrian girls, aged 7 and 11, drowned after their boat sank off the coast of Kaş, in Turkey's Antalya region. 18 migrants were rescued, while 3 remain missing.",Yes,,,
26.243986223000036,38.432258316000059,14565,2015-12-15T23:00:00.000Z,Partially Verified,Mediterranean,2,,Iraq,MENA,Eastern Mediterranean,"Off the coast of Cesme, Izmir, Turkey. Likely en route to Chios, Greece.",,,2,"2, 6",Hurriyet Daily News,http://bit.ly/1RTzbcd,"Two Iraqi children, aged six and two, were found dead off the Turkish resort town of Çeşme after trying to reach EU member Greece.  The bodies of the two children were found floating in the sea by local fishermen who then handed them over to the İzmir coastguard.  The children had been among 200 migrants trying to reach Greece by crossing the Aegean in the same journey. All others were rescued after their boat sank.",Yes,Drowning,200,
29.589343178000036,36.175438221000036,14963,2015-12-13T23:00:00.000Z,Partially Verified,Mediterranean,3,3,Unknown,MENA,Eastern Mediterranean,"near Kastelorizo/Megisti, Greece",,,3,,Greek Reporter,http://bit.ly/1QJ2JIG,,Yes,Drowning,17,
26.480152825000062,39.446940931000029,14964,2015-12-13T23:00:00.000Z,Partially Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Between Izmir, Turkey and Lesvos, Greece",,1,1,10,Haberler,http://bit.ly/1O8jq1D,"A 10-year-old boy named Nergis died on Monday after one of three boats carrying refugees sank off Turkey's western Izmir coast, en route to Lesvos, Greece.   More than 100 Syrian and Afghan refugees in the three boats were rescued by the Turkish Coast Guard.",,Drowning,,
27.431130154000073,36.964182588000028,14965,2015-12-15T23:00:00.000Z,Partially Verified,Mediterranean,4,,"Iraq, Syria, Afghanistan",MENA,Eastern Mediterranean,"Off the coast of Kara Ada, Bodrum, Turkey. En route to Kos, Greece.",,,,2 - 6,"Hurriyet Daily News, Anatolu Agency",http://bit.ly/1RTzbcd and http://bit.ly/1TRyUVS,"Turkish coast guards rescued 58 people of Iraqi, Syrian and Afghan nationality, including 22 children, after a 14-meter boat capsized.",Yes,Drowning,58,
-5.916204974999971,35.99133603000007,15363,2015-10-30T23:00:00.000Z,Partially Verified,Mediterranean,4,,Unknown,Sub-Saharan Africa,Western Mediterranean,between Al Hoceima and Malaga,,4,,,AFP,http://bit.ly/1YpEBLU,,Yes,Drowning,,
27.001580669000077,36.930129690000058,15364,2015-12-15T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Off the coast of Kalymnos, Greece",,1,1,about 2 years,Hellenic Coast Guard,http://www.hcg.gr/node/11682,,Yes,Drowning,,
26.494619182000065,37.586014358000057,15763,2015-12-13T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"Off the coast of Fourni, Greece",,1,,,Hellenic Coast Guard,http://www.hcg.gr/node/11666,,Yes,Drowning,,
27.254266216000076,36.925738499000033,15764,2015-12-17T23:00:00.000Z,Partially Verified,Mediterranean,4,,Iraq,MENA,Eastern Mediterranean,"between Bodrum, Turkey and Kos, Greece",,,2,,Hurriyet Daily News,http://bit.ly/1QR5GXY,The Turkish Coast Guard rescued the other four migrants from the boat that departed from Bodrum’s Turgutreis neighborhood to reach the Greek island of Kos.,Yes,Drowning,4,
26.491388149000045,37.579996033000043,16163,2016-01-01T23:00:00.000Z,Verified,Mediterranean,4,,Unknown,Unknown,Eastern Mediterranean,"Found washed up on Fournoi Island, Greece",1,3,,,Hellenic Coast Guard,http://www.hcg.gr/node/11797,,Yes,Drowning,,
27.071107706000078,36.569439707000072,16164,2016-01-03T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,Unknown,Eastern Mediterranean,"Found washed up on Tinos Island, Greece",1,,,About 25,Hellenic Coast Guard,http://www.hcg.gr/node/11806,,,Drowning,,
27.071107706000078,36.569439707000072,16165,2016-01-04T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,Unknown,Eastern Mediterranean,"Found on Ikaria Island, Greece. Aginola beach",1,,1,7-10,Hellenic Coast Guard,http://www.hcg.gr/node/11806,,No,Drowning,,
26.695395546000043,39.319046713000034,16166,2016-01-04T23:00:00.000Z,Partially Verified,Mediterranean,36,,"Iraq, Algeria and Syria (initial reports)",MENA,Eastern Mediterranean,"Washed up on the shore of Ayvalik and Dikili, Turkey or found in the sea nearby. Most on Ayvalik with 10 -12 on Dikili.",1,,3,,Associated Press and IOM Ankara,http://dailym.ai/1mCKbi8,,No,Drowning,,
26.995575498000051,37.47290438400006,16563,2016-01-01T23:00:00.000Z,Partially Verified,Mediterranean,1,,Syria,MENA,Eastern Mediterranean,"Near Agathonisi island, Greece. Boat hit rocks on Nera Island next to Agathonisi.",,1,1,2,IOM Athens and Migrant Report,http://bit.ly/1mZztmm,,Yes,Drowning,,
26.873468833000061,37.787452181000049,16565,2016-01-03T23:00:00.000Z,Partially Verified,Mediterranean,1,,Unknown,Unknown,Eastern Mediterranean,"Found washed up on Samos Island, Greece",,,,,Hellenic Coast Guard,http://www.hcg.gr/node/11802,,,Drowning,,
26.491388149000045,37.579996033000043,16566,2016-01-03T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,Unknown,Eastern Mediterranean,"Found washed up on Fournoi Island, Greece",1,,,,Hellenic Coast Guard,http://www.hcg.gr/node/11806,,,Drowning,,
26.175034776000075,39.364775044000055,16567,2016-01-07T23:00:00.000Z,Verified,Mediterranean,1,,Unknown,Unknown,Eastern Mediterranean,"Found on the coast of Lesvos Island, Greece, Mithimna port",,,,,Hellenic Coast Guard,http://www.hcg.gr/node/11813,,,Drowning,,
26.45839707600004,40.21406679100005,16568,2016-01-07T23:00:00.000Z,Partially Verified,Middle East ,4,,Syria,MENA,,"Ezine–Bayramic road in Canakkale, Turkey, on/by Harharik Bridge",,,,,Anadolu Agency,bit.ly/1JyydQZ,"En route to coast in order to sail to Lesvos, Greece.",Yes,Vehicle accident,,
27.886106884000071,39.649168919000033,16963,2016-01-08T23:00:00.000Z,Partially Verified,Middle East ,7,,Syria (mostly),MENA,,"Western Balikesir province, Turkey",,,,,Dogan News Agency,http://bit.ly/1UEnJQC,"Migrants, mostly Syrian, were heading to Ayvacık in order to then sail to the Greek island of Lesvos",Yes,Vehicle accident,,
26.460474709000039,39.485741197000038,16964,2016-01-10T23:00:00.000Z,Partially Verified,Mediterranean,3,,Afghanistan,South Asia,Eastern Mediterranean,"About 200 meters off the coast of Ayvacık district, Çanakkale Province, Turkey.",2,,1,,Doğan News Agency,http://bit.ly/1OfGmJ4,,Yes,Drowning,,
18.364975247000075,39.778145922000078,17363,2016-01-10T23:00:00.000Z,Partially Verified,Mediterranean,1,8,Somalia,Horn of Africa,Other,"Off the coast of Santa Maria di Leuca, Puglia, Italy",9,,,,IOM Rome and Reuters,http://reut.rs/1OXbHUn,The body of a woman in her 30s was discovered on the rocks . The 8 missing are presumed dead and are thought to likely be women who couldn't swim. Survivors were mainly women. Migrants traveled from Turkey to Greece and then to Italy. Smugglers escaped on a second boat after throwing the migrants into the water to make it to shore on their own (even if they did not have life jackets and could not swim. Women who protested were beaten.,Yes,Drowning,,
